Replacing references of tcn01
smx02_a04_02.wok: 0 changes made
smx02_a04_04.mdl: 26 changes made
smx02_a04_04.wok: 0 changes made
smx02_a04_06.mdl: 5 changes made
smx02_a04_06.wok: 0 changes made
tcn01.set: 357 changes made
tcn01_c03_02.mdl: 388 changes made
tcn01_c03_02.wok: 3 changes made
tcn01_f01_01.mdl: 129 changes made
tcn01_f01_01.wok: 3 changes made
tcn01_f01_02.mdl: 444 changes made
tcn01_f01_02.wok: 3 changes made
tcn01_f02_01.mdl: 258 changes made
tcn01_f02_01.wok: 3 changes made
tcn01_f02_02.mdl: 394 changes made
tcn01_f02_02.wok: 3 changes made
tcn01_f02_03.mdl: 106 changes made
tcn01_f02_03.wok: 3 changes made
tcn01_f02_04.mdl: 224 changes made
tcn01_f02_04.wok: 3 changes made
tcn01_f03_01.mdl: 142 changes made
tcn01_f03_01.wok: 3 changes made
tcn01_f03_02.mdl: 415 changes made
tcn01_f03_02.wok: 3 changes made
tcn01_f04_02.mdl: 277 changes made
tcn01_f04_02.wok: 3 changes made
tcn01_f04_03.mdl: 201 changes made
tcn01_f04_03.wok: 3 changes made
tcn01_f04_04.mdl: 139 changes made
tcn01_f04_04.wok: 3 changes made
tcn01_f04_07.mdl: 432 changes made
tcn01_f04_07.wok: 3 changes made
tcn01_f04_09.mdl: 130 changes made
tcn01_f04_09.wok: 3 changes made
tcn01_f05_01.mdl: 315 changes made
tcn01_f05_01.wok: 3 changes made
tcn01_f05_02.mdl: 461 changes made
tcn01_f05_02.wok: 3 changes made
tcn01_f05_03.mdl: 295 changes made
tcn01_f05_03.wok: 3 changes made
tcn01_f05_04.mdl: 483 changes made
tcn01_f05_04.wok: 3 changes made
tcn01_f06_01.mdl: 131 changes made
tcn01_f06_01.wok: 3 changes made
tcn01_f06_02.mdl: 676 changes made
tcn01_f06_02.wok: 3 changes made
tcn01_f06_03.mdl: 123 changes made
tcn01_f06_03.wok: 3 changes made
tcn01_f06_04.mdl: 368 changes made
tcn01_f06_04.wok: 3 changes made
tcn01_f07_01.mdl: 443 changes made
tcn01_f07_01.wok: 3 changes made
tcn01_f08_01.mdl: 144 changes made
tcn01_f08_01.wok: 3 changes made
tcn01_f08_02.mdl: 91 changes made
tcn01_f08_02.wok: 3 changes made
tcn01_f08_03.mdl: 153 changes made
tcn01_f08_03.wok: 3 changes made
tcn01_f08_04.mdl: 328 changes made
tcn01_f08_04.wok: 3 changes made
tcn01_v21_01.mdl: 98 changes made
tcn01_v21_01.wok: 3 changes made
tcn01_v21_02.mdl: 94 changes made
tcn01_v21_02.wok: 3 changes made
tcn01_v22_01.mdl: 98 changes made
tcn01_v22_01.wok: 3 changes made
tcn01_v22_02.mdl: 95 changes made
tcn01_v22_02.wok: 3 changes made
tcn01_v23_01.mdl: 49 changes made
tcn01_v23_01.wok: 3 changes made
tcn01_v23_02.mdl: 47 changes made
tcn01_v23_02.wok: 3 changes made
tcn01_v24_01.mdl: 106 changes made
tcn01_v24_01.wok: 3 changes made
tcn01_v24_02.mdl: 105 changes made
tcn01_v24_02.wok: 3 changes made
tcn01_v25_01.mdl: 49 changes made
tcn01_v25_01.wok: 3 changes made
tcn01_v25_02.mdl: 47 changes made
tcn01_v25_02.wok: 3 changes made
tcn01palstd.itp: 84 changes made
ttr01.set: 12 changes made
ttr01_v21_01.mdl: 8 changes made
ttr01_v21_01.wok: 0 changes made
ttr01_v21_02.mdl: 4 changes made
ttr01_v21_02.wok: 0 changes made
ttr01_v22_01.mdl: 4 changes made
ttr01_v22_01.wok: 0 changes made
ttr01_v22_02.mdl: 1 changes made
ttr01_v22_02.wok: 0 changes made
ttr01_v23_01.mdl: 3 changes made
ttr01_v23_01.wok: 0 changes made
ttr01_v23_02.mdl: 1 changes made
ttr01_v23_02.wok: 0 changes made
ttr01_v24_01.mdl: 4 changes made
ttr01_v24_01.wok: 0 changes made
ttr01_v24_02.mdl: 3 changes made
ttr01_v24_02.wok: 0 changes made
ttr01_v25_01.mdl: 3 changes made
ttr01_v25_01.wok: 0 changes made
ttr01_v25_02.mdl: 1 changes made
ttr01_v25_02.wok: 0 changes made
ttr01palstd.itp: 0 changes made
tts01.set: 0 changes made
tts01palstd.itp: 0 changes made
****************
132 files modified

Replacing references of micn01
****************
tcn01.set: 353 changes made
ttr01.set: 12 changes made
tts01.set: 0 changes made
****************
2 files modified

Replacing references of tcn
****************
plc_hmprp.mdl: 0 changes made
plc_LfBoat.mdl: 0 changes made
plc_shpbct.mdl: 0 changes made
plc_shpbll.mdl: 0 changes made
plc_shpflg.mdl: 0 changes made
plc_ShpWhl.mdl: 0 changes made
SMX01_A01_01.mdl: 0 changes made
SMX01_A01_02.mdl: 0 changes made
SMX01_A01_03.mdl: 0 changes made
SMX01_A01_04.mdl: 0 changes made
smx01_a01_06.mdl: 0 changes made
SMX01_A02_01.mdl: 0 changes made
SMX01_A02_02.mdl: 0 changes made
SMX01_A02_03.mdl: 0 changes made
SMX01_A02_04.mdl: 0 changes made
smx01_a02_06.mdl: 0 changes made
SMX01_A03_01.mdl: 0 changes made
SMX01_A03_02.mdl: 0 changes made
SMX01_A03_03.mdl: 0 changes made
SMX01_A03_04.mdl: 0 changes made
smx01_a03_06.mdl: 0 changes made
SMX01_A04_01.mdl: 0 changes made
SMX01_A04_02.mdl: 0 changes made
SMX01_A04_03.mdl: 0 changes made
SMX01_A04_04.mdl: 0 changes made
smx01_a04_06.mdl: 0 changes made
SMX01_A05_01.mdl: 0 changes made
SMX01_A05_02.mdl: 0 changes made
SMX01_A05_03.mdl: 0 changes made
SMX01_A05_04.mdl: 0 changes made
smx01_a05_06.mdl: 0 changes made
SMX01_A06_01.mdl: 0 changes made
SMX01_A06_02.mdl: 0 changes made
SMX01_A06_03.mdl: 0 changes made
SMX01_A06_04.mdl: 0 changes made
smx01_a06_06.mdl: 0 changes made
smx02_a01_01.mdl: 0 changes made
smx02_a01_02.mdl: 0 changes made
smx02_a01_03.mdl: 0 changes made
smx02_a01_04.mdl: 0 changes made
smx02_a01_06.mdl: 0 changes made
smx02_a02_01.mdl: 0 changes made
smx02_a02_02.mdl: 0 changes made
smx02_a02_03.mdl: 0 changes made
smx02_a02_04.mdl: 0 changes made
smx02_a02_06.mdl: 0 changes made
smx02_a03_01.mdl: 0 changes made
smx02_a03_02.mdl: 0 changes made
smx02_a03_03.mdl: 0 changes made
smx02_a03_04.mdl: 0 changes made
smx02_a03_06.mdl: 0 changes made
smx02_a04_02.mdl: 0 changes made
smx02_a04_04.mdl: 0 changes made
smx02_a04_06.mdl: 0 changes made
tcn01_c03_02.mdl: 0 changes made
tcn01_f01_01.mdl: 0 changes made
tcn01_f01_02.mdl: 0 changes made
tcn01_f02_01.mdl: 0 changes made
tcn01_f02_02.mdl: 0 changes made
tcn01_f02_03.mdl: 0 changes made
tcn01_f02_04.mdl: 0 changes made
tcn01_f03_01.mdl: 0 changes made
tcn01_f03_02.mdl: 0 changes made
tcn01_f04_02.mdl: 0 changes made
tcn01_f04_03.mdl: 0 changes made
tcn01_f04_04.mdl: 0 changes made
tcn01_f04_07.mdl: 0 changes made
tcn01_f04_09.mdl: 0 changes made
tcn01_f05_01.mdl: 0 changes made
tcn01_f05_02.mdl: 0 changes made
tcn01_f05_03.mdl: 0 changes made
tcn01_f05_04.mdl: 0 changes made
tcn01_f06_01.mdl: 0 changes made
tcn01_f06_02.mdl: 0 changes made
tcn01_f06_03.mdl: 0 changes made
tcn01_f06_04.mdl: 0 changes made
tcn01_f07_01.mdl: 0 changes made
tcn01_f08_01.mdl: 0 changes made
tcn01_f08_02.mdl: 0 changes made
tcn01_f08_03.mdl: 0 changes made
tcn01_f08_04.mdl: 0 changes made
tcn01_v21_01.mdl: 0 changes made
tcn01_v21_02.mdl: 0 changes made
tcn01_v22_01.mdl: 0 changes made
tcn01_v22_02.mdl: 0 changes made
tcn01_v23_01.mdl: 0 changes made
tcn01_v23_02.mdl: 0 changes made
tcn01_v24_01.mdl: 0 changes made
tcn01_v24_02.mdl: 0 changes made
tcn01_v25_01.mdl: 0 changes made
tcn01_v25_02.mdl: 0 changes made
ttr01_v21_01.mdl: 0 changes made
ttr01_v21_02.mdl: 0 changes made
ttr01_v22_01.mdl: 0 changes made
ttr01_v22_02.mdl: 0 changes made
ttr01_v23_01.mdl: 0 changes made
ttr01_v23_02.mdl: 0 changes made
ttr01_v24_01.mdl: 0 changes made
ttr01_v24_02.mdl: 0 changes made
ttr01_v25_01.mdl: 0 changes made
ttr01_v25_02.mdl: 0 changes made
****************
0 files modified

Renaming Files that contain tcn01
****************
76 file(s) renamed

Renaming Files that contain micn01
****************
17 file(s) renamed

Renaming Files that contain tcn
****************
0 file(s) renamed

Tileset Duplication complete

