{{CraftNav|title=Jewelry}}
|5
|
|1 Ingot of Silver <br>1 Polished Fluorospar
|
|
|-
|Silver Garnet Ring
|5
|
|1 Ingot of Silver <br>1 Polished Garnet
|
|
|-
|Silver Alexandrite Ring
|5
|
|1 Ingot of Silver <br>1 Polished Alexandrite
|
|
|-
|Gold Ring
|6
|
|1 Ingot of Gold
|Enhancement Bonus: Charisma +2
|
|-
|Gold Topaz Ring
|9
|
|1 Ingot of Gold <br>1 Polished Topaz
|
|
|-
|Gold Sapphire Ring
|9
|
|1 Ingot of Gold <br>1 Polished Sapphire
|
|
|-
|Gold Fire Opal Ring
|9
|
|1 Ingot of Gold <br>1 Polished Fire Opal
|
|
|-
|Electrum Ring
|10
|
|1 Ingot of Electrum
|Enhancement Bonus: Charisma +3
|
|-
|Electrum Diamond Ring
|11
|
|1 Ingot of Electrum <br>1 Polished Diamond
|Enhancement Bonus: Strength +3
| 
|-
|Electrum Ruby Ring
|12
|
|1 Ingot of Electrum <br>1 Polished Ruby
|Enhancement Bonus: Intelligence +3
|
|-
|Electrum Emerald Ring
|13
|17000gp
|1 Ingot of Electrum <br>1 Polished Emerald
|Enhancement Bonus: Wisdom +3
|
|-
|Ring of Camouflage
|15
|13046gp
|1 Silver Garnet Ring <br>1 Lesser Rune of Investment
|Skill Bonus: Hide +8<br/>Skill Bonus: Move Silently +8<br/>Use: [https://nwn.fandom.com/wiki/Searing_light Searing Light (5)] 1 Use/Day
|
|-
|Ring of Revealing
|15
|
|1 Silver Alexandrite Ring <br>1 Lesser Rune of Investment
|Skill Bonus: Listen +8<br/>Skill Bonus: Search +8<br/>Skill Bonus: Spot +8<br/>
|
|}

===Stonework===

{| class="wikitable"
! style="text-alignleft;"| Name
! Level
! Ingredients
! Properties
! Race Requirements
|-
|Fixture: Stone Vase
|
|1 Slab of Plain Stone
|
|
|-
|Fixture: Headstone
|
|1 Slab of Plain Stone
|
|
|-
|Fixture: Stone Sign
|
|1 Slab of Plain Stone <br>1 Slab of Marble <br>1 Slab of Granite
|
|
|-
|Fixture: Stone Throne
|
|3 Slab of Plain Stone
|
|
|-
|Fixture: Potted Plant
|
|2 Slab of Plain Stone
|
|
|-
|Fixture: Flowers
|
|2 Slab of Plain Stone
|
|
|-
|Fixture: Elaborate Stone Table
|
|1 Slab of Plain Stone <br>1 Slab of Marble
|
|
|-
|Fixture: Stone Column
|
|2 Slab of Plain Stone <br>2 Slab of Marble
|
|
|-
|Fixture: Rune Pillar
|
|4 Slab of Marble
|
|
|-
|Fixture: Skeletal Throne
|
|3 Slab of Plain Stone
|
|
|-
|Fixture: Crystal Ball
|
|1 Slab of Plain Stone <br>2 Crystal
|
|
|-
|Fixture: Guardian Statue
|
|1 Slab of Plain Stone <br>2 Slab of Marble
|
|
|-
|Fixture: Gargoyle
|
|3 Slab of Plain Stone
|
|
|-
|Fixture: Knight Statue
|
|2 Slab of Plain Stone <br>2 Slab of Marble
|
|
|-
|Fixture: Warrior Statue
|
|1 Slab of Plain Stone <br>1 Slab of Marble <br>1 Slab of Granite
|
|
|-
|Fixture: Sphynx Statue
|
|2 Slab of Plain Stone <br>4 Slab of Marble
|
|
|-
|Fixture: Marble Altar
|
|4 Slab of Marble
|
|Weight: 1001
|-
|Fixture: Granite Altar
|
|4 Slab of Granite
|
|Weight: 1001
|-
|Fixture: Spiked Altar
|8
|2 Slab of Plain Stone <br>2 Slab of Marble <br>2 Slab of Granite
|
|Weight: 1001
|-
|Fixture: Enchantment Basin
|10
|3 Slab of Marble <br>2 Ingot of Electrum
|
|
|-
|}
